text	who	ageGroup	soc	sex	u	s	w	c	unclear
KB0	KB0PSUGP	X	UU	u	0	0	0	0	0
KB0	KB0PSUNK	X	UU	u	744	776	11662	1296	479
KB0	PS002	Ag5	UU	f	297	366	3560	476	143
KB0	PS003	Ag4	UU	f	221	458	4419	598	63
KB0	PS004	Ag2	UU	m	72	163	2225	221	17
KB0	PS005	Ag3	UU	f	142	320	4581	513	42
KB0	PS006	Ag4	UU	m	264	281	2165	269	5
KB0	PS007	Ag5	AB	m	730	943	6987	1009	67
KB0	PS008	Ag3	UU	m	154	304	4201	402	74
KB0	PS009	Ag3	UU	m	103	266	3651	389	119
KB0	PS00A	Ag5	UU	m	10	24	638	48	11
KB1	KB1PSUGP	X	UU	u	0	0	0	0	0
KB1	KB1PSUNK	X	UU	u	161	150	778	194	61
KB1	PS01A	Ag4	DE	m	1538	2032	13306	2600	101
KB1	PS01B	Ag4	DE	f	1342	1677	12587	2328	254
KB1	PS01C	Ag5	UU	f	375	452	3265	532	112
KB1	PS01D	Ag1	DE	f	378	537	3993	642	57
KB1	PS01E	Ag3	UU	m	138	180	1078	195	45
KB1	PS01F	Ag3	UU	f	525	624	6487	1405	254
KB1	PS01G	Ag0	UU	f	182	129	433	132	106
KB1	PS01H	Ag5	UU	f	53	65	481	78	12
KB1	PS01J	Ag4	UU	f	10	13	40	14	2
KB2	KB2PSUGP	X	UU	u	267	2	17	3	264
KB2	KB2PSUNK	X	UU	u	95	101	1267	161	2
KB2	PS01T	Ag5	DE	m	1180	1198	7025	819	78
KB2	PS01U	Ag4	UU	f	1662	1839	12698	1544	60
KB2	PS01V	Ag5	DE	f	2333	2579	16711	2139	102
KB2	PS01W	X	UU	f	12	11	49	7	0
KB3	KB3PSUGP	X	UU	u	1	0	0	0	1
KB3	KB3PSUNK	X	UU	u	1	1	4	0	0
KB3	PS147	Ag3	AB	f	582	876	5924	968	142
KB3	PS148	Ag0	AB	m	309	387	1966	334	70
KB3	PS149	Ag4	AB	m	521	628	3202	643	159
KB3	PS14A	Ag0	AB	f	86	74	120	70	21
KB4	KB4PSUGP	X	UU	u	0	0	0	0	0
KB4	KB4PSUNK	X	UU	u	3	1	1	0	1
KB4	PS1CP	Ag4	DE	m	39	56	291	57	4
KB4	PS1CR	X	UU	f	34	42	205	38	7
KB4	PS1CS	Ag1	DE	m	13	24	132	27	3
KB4	PS1CU	X	UU	m	37	46	255	48	9
KB4	PS1CV	X	UU	f	5	5	20	4	1
KB5	KB5PSUGP	X	UU	u	0	0	0	0	0
KB5	KB5PSUNK	X	UU	u	67	51	199	72	36
KB5	PS028	Ag1	C2	m	144	152	1442	322	133
KB5	PS0Y5	Ag1	UU	f	77	50	124	61	48
KB5	PS0Y7	Ag4	UU	f	32	27	180	39	21
KB5	PS0Y8	Ag1	UU	m	6	5	16	5	4
KB5	PS0YA	Ag1	UU	m	58	70	1001	179	65
